decree,valid_from,valid_to,sector,tariff_type,unit,amount,note
de_11_2025,2025-06-01,,agricola,time_based,month,305.23,"Decreto 11-2025 (D.O. 95 T.447 23-May-2025; effective 2025-06-01 per Art. 15; repeals D.E. 9/10-2021 per Art. 14) Art. 2 sector table; monthly pays regardless of month length (post-table inciso); sector incl. ganaderia, pesca, recoleccion de cosecha de cafe y otras actividades agricolas"
de_11_2025,2025-06-01,,agricola,time_based,day,10.035,"Art. 2; [sic] three-decimal value as printed (PSM-4 recovery, both OCR passes agree; SOQ-20); daily/hourly set independently (10.035 x 30 = 301.05 != 305.23) — NEVER recompute from monthly"
de_11_2025,2025-06-01,,agricola,time_based,hour,1.254,"Art. 2; [sic] three-decimal value as printed (PSM-4 recovery; SOQ-20); NEVER recompute from monthly"
de_11_2025,2025-06-01,,industria,time_based,month,408.80,"Art. 2 sector table; monthly pays regardless of month length (post-table inciso); sector incl. ingenios azucareros, beneficio de cafe y otras actividades de industria y agroindustria"
de_11_2025,2025-06-01,,industria,time_based,day,13.440,"Art. 2; [sic] three-decimal value as printed (PSM-4 recovery; SOQ-20); NEVER recompute from monthly"
de_11_2025,2025-06-01,,industria,time_based,hour,1.680,"Art. 2; [sic] three-decimal value as printed (PSM-4 recovery; SOQ-20); NEVER recompute from monthly"
de_11_2025,2025-06-01,,comercio_y_servicios,time_based,month,408.80,"Art. 2 sector table; monthly pays regardless of month length (post-table inciso); sector = comercio y servicios (servicio publico o privado); PINNED sector for the aguinaldo 2-SMM floor (Ley ISR Art. 4.16 via taxation/04 SV-TAX-FR-120) — floor 2 x 408.80 = 817.60 from this row"
de_11_2025,2025-06-01,,comercio_y_servicios,time_based,day,13.440,"Art. 2; [sic] three-decimal value as printed (PSM-4 recovery; SOQ-20); NEVER recompute from monthly"
de_11_2025,2025-06-01,,comercio_y_servicios,time_based,hour,1.680,"Art. 2; [sic] three-decimal value as printed (PSM-4 recovery; SOQ-20); NEVER recompute from monthly"
de_11_2025,2025-06-01,,maquila_textil_y_confeccion,time_based,month,402.32,"Art. 2 sector table; monthly pays regardless of month length (post-table inciso); sector = maquila textil y confeccion"
de_11_2025,2025-06-01,,maquila_textil_y_confeccion,time_based,day,13.227,"Art. 2; [sic] three-decimal value as printed (PSM-4 recovery; SOQ-20); NEVER recompute from monthly"
de_11_2025,2025-06-01,,maquila_textil_y_confeccion,time_based,hour,1.653,"Art. 2; [sic] three-decimal value as printed (PSM-4 recovery; SOQ-20); NEVER recompute from monthly"
de_11_2025,2025-06-01,,recoleccion_cana,piece_rate,tonelada,5.018,"Art. 3 a) unit-of-work tariffs (cana/cafe collection; not subject to horarios de trabajo); fractions of tonelada/tarea paid proportionally to the unit (Art. 3 b); rendimiento cap: 2 toneladas or 1 tarea-equivalent extension per jornada (Art. 3 c)"
de_11_2025,2025-06-01,,recoleccion_cana,piece_rate,arroba,2.007,"Art. 3 a); [sic] value as printed (PSM-6 garble resolved by PSM-4 context); fractions proportional (Art. 3 b)"
de_11_2025,2025-06-01,,recoleccion_cafe,piece_rate,libra,0.080,"Art. 3 a) unit-of-work tariffs (no horario); fractions paid proportionally (Art. 3 b)"
de_11_2025,2025-06-01,,recoleccion_cana,descanso_prestacion,tarea,1.673,"Art. 6 descanso-semanal prestacion table (CT Art. 90 inc. 3o anchor) for piece-rate workers; [sic] three-decimal value as printed (PSM-4 recovery; SOQ-20); DISTINCT from Art. 3 production tariffs — do not merge (tarea prestacion has no Art. 3 counterpart rate)"
de_11_2025,2025-06-01,,recoleccion_cana,descanso_prestacion,tonelada,0.836,"Art. 6; [sic] three-decimal value as printed (PSM-4 recovery; SOQ-20); DISTINCT from the Art. 3 $5.018/tonelada production tariff — separate tables, do not merge"
de_11_2025,2025-06-01,,recoleccion_cafe,descanso_prestacion,arroba,0.335,"Art. 6; [sic] three-decimal value as printed (PSM-4 recovery; SOQ-20); DISTINCT from the Art. 3 $0.080/libra production tariff"
